id,quantity,unit_price,date_id,customer_id,product_id,turnover,profit,id,company,last_name,first_name,email_address,job_title,business_phone,home_phone,mobile_phone,fax_number,address,city,state_province,zip_postal_code,country_region,web_page,notes,attachments,technical_key,version,date_from,date_to,city,state_province,country_region,zip_postal_code
48,25,18,20060324,1,1,450,112.5,1,"Company A",Bedecs,Anna,NULL,Owner,(123)555-0100,NULL,NULL,(123)555-0101,"123 1st Street",Seattle,WA,99999,USA,NULL,NULL,NULL,1,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Seattle,WA,USA,99999
49,25,46,20060324,1,43,1150,287.5,1,"Company A",Bedecs,Anna,NULL,Owner,(123)555-0100,NULL,NULL,(123)555-0101,"123 1st Street",Seattle,WA,99999,USA,NULL,NULL,NULL,1,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Seattle,WA,USA,99999
50,25,2.99,20060324,1,81,74.75,24.75,1,"Company A",Bedecs,Anna,NULL,Owner,(123)555-0100,NULL,NULL,(123)555-0101,"123 1st Street",Seattle,WA,99999,USA,NULL,NULL,NULL,1,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Seattle,WA,USA,99999
77,40,18.4,20060524,1,40,736,184,1,"Company A",Bedecs,Anna,NULL,Owner,(123)555-0100,NULL,NULL,(123)555-0101,"123 1st Street",Seattle,WA,99999,USA,NULL,NULL,NULL,1,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Seattle,WA,USA,99999
37,200,9.65,20060223,3,41,1930,482.5,3,"Company C",Axen,Thomas,NULL,"Purchasing Representative",(123)555-0100,NULL,NULL,(123)555-0101,"123 3rd Street","Los Angelas",CA,99999,USA,NULL,NULL,NULL,3,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","Los Angelas",CA,USA,99999
82,50,10,20060425,3,3,500,125,3,"Company C",Axen,Thomas,NULL,"Purchasing Representative",(123)555-0100,NULL,NULL,(123)555-0101,"123 3rd Street","Los Angelas",CA,99999,USA,NULL,NULL,NULL,3,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","Los Angelas",CA,USA,99999
83,3,40,20060425,3,8,120,30,3,"Company C",Axen,Thomas,NULL,"Purchasing Representative",(123)555-0100,NULL,NULL,(123)555-0101,"123 3rd Street","Los Angelas",CA,99999,USA,NULL,NULL,NULL,3,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","Los Angelas",CA,USA,99999
29,10,30,20060120,4,7,300,75,4,"Company D",Lee,Christina,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 4th Street","New York",NY,99999,USA,NULL,NULL,NULL,4,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","New York",NY,USA,99999
30,10,53,20060120,4,51,530,132.5,4,"Company D",Lee,Christina,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 4th Street","New York",NY,99999,USA,NULL,NULL,NULL,4,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","New York",NY,USA,99999
31,10,3.5,20060120,4,80,35,5,4,"Company D",Lee,Christina,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 4th Street","New York",NY,99999,USA,NULL,NULL,NULL,4,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","New York",NY,USA,99999
35,20,9.2,20060206,4,19,184,46,4,"Company D",Lee,Christina,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 4th Street","New York",NY,99999,USA,NULL,NULL,NULL,4,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","New York",NY,USA,99999
84,40,81,20060422,4,20,3240,810,4,"Company D",Lee,Christina,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 4th Street","New York",NY,99999,USA,NULL,NULL,NULL,4,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","New York",NY,USA,99999
85,40,7,20060422,4,52,280,70,4,"Company D",Lee,Christina,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 4th Street","New York",NY,99999,USA,NULL,NULL,NULL,4,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","New York",NY,USA,99999
38,17,40,20060306,6,8,680,170,6,"Company F",Pérez-Olaeta,Francisco,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 6th Street",Milwaukee,WI,99999,USA,NULL,NULL,NULL,6,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Milwaukee,WI,USA,99999
66,10,12.75,20060403,6,48,127.5,31.875,6,"Company F",Pérez-Olaeta,Francisco,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 6th Street",Milwaukee,WI,99999,USA,NULL,NULL,NULL,6,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Milwaukee,WI,USA,99999
55,300,14,20060408,6,34,4200,1050,6,"Company F",Pérez-Olaeta,Francisco,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 6th Street",Milwaukee,WI,99999,USA,NULL,NULL,NULL,6,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Milwaukee,WI,USA,99999
74,40,12.75,20060608,6,48,510,127.5,6,"Company F",Pérez-Olaeta,Francisco,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 6th Street",Milwaukee,WI,99999,USA,NULL,NULL,NULL,6,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Milwaukee,WI,USA,99999
68,30,30,20060623,6,7,900,225,6,"Company F",Pérez-Olaeta,Francisco,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 6th Street",Milwaukee,WI,99999,USA,NULL,NULL,NULL,6,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Milwaukee,WI,USA,99999
69,30,53,20060623,6,51,1590,397.5,6,"Company F",Pérez-Olaeta,Francisco,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 6th Street",Milwaukee,WI,99999,USA,NULL,NULL,NULL,6,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Milwaukee,WI,USA,99999
42,300,46,20060324,7,43,13800,3450,7,"Company G",Xie,Ming-Yang,NULL,Owner,(123)555-0100,NULL,NULL,(123)555-0101,"123 7th Street",Boise,ID,99999,USA,NULL,NULL,NULL,7,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Boise,ID,USA,99999
34,30,9.2,20060130,8,19,276,69,8,"Company H",Andersen,Elizabeth,NULL,"Purchasing Representative",(123)555-0100,NULL,NULL,(123)555-0101,"123 8th Street",Portland,OR,99999,USA,NULL,NULL,NULL,8,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Portland,OR,USA,99999
40,100,12.75,20060322,8,48,1275,318.75,8,"Company H",Andersen,Elizabeth,NULL,"Purchasing Representative",(123)555-0100,NULL,NULL,(123)555-0101,"123 8th Street",Portland,OR,99999,USA,NULL,NULL,NULL,8,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Portland,OR,USA,99999
56,25,40,20060405,8,8,1000,250,8,"Company H",Andersen,Elizabeth,NULL,"Purchasing Representative",(123)555-0100,NULL,NULL,(123)555-0101,"123 8th Street",Portland,OR,99999,USA,NULL,NULL,NULL,8,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Portland,OR,USA,99999
57,25,9.2,20060405,8,19,229.99999999999997,57.49999999999997,8,"Company H",Andersen,Elizabeth,NULL,"Purchasing Representative",(123)555-0100,NULL,NULL,(123)555-0101,"123 8th Street",Portland,OR,99999,USA,NULL,NULL,NULL,8,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Portland,OR,USA,99999
81,40,34.8,20060430,8,72,1392,348,8,"Company H",Andersen,Elizabeth,NULL,"Purchasing Representative",(123)555-0100,NULL,NULL,(123)555-0101,"123 8th Street",Portland,OR,99999,USA,NULL,NULL,NULL,8,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Portland,OR,USA,99999
